Date,Date Added,Location,Endroit,Address,Address-fr,Transit Route,Details,Précisions
11/13/2020 12:00:00 AM,11/23/2020 12:00:00 AM,Winnipeg Transit Routes,"Régie des transports de Winnipeg, lignes",,,47,Route 47 at 8:22 a.m. at 1131 Nairn Ave. and Route 60 at 9:20 a.m. at Graham Ave. and Donald St.,"Ligne 47, à 8 h 22, au 1131, av. Nairn, et ligne 60, à 9 h 20, au coin de l’av. Graham et de la rue Donald"
11/12/2020 12:00:00 AM,11/23/2020 12:00:00 AM,Winnipeg Transit Routes,"Régie des transports de Winnipeg, lignes",,,45,Route 18 at 5:00 p.m. at 285 Pembina Hwy. and Route 45 at 6:00 p.m.,"Ligne 18, à 17 h, au 285, ch. Pembina, et ligne 45, à 18 h"
11/06/2020 12:00:00 AM,11/13/2020 12:00:00 AM,Winnipeg Transit Route,"Régie des transports de Winnipeg, ligne",,,18,10:30 a.m. to 11 a.m. Northbound Main St. at James Ave. (Concert Hall) to northbound Main St. at Polson Ave.,"Entre 10 h 30 et 11 h, depuis le coin de la rue Main en direction nord et de l’av. James (salle des concerts) jusqu’au coin de la rue Main en direction nord et de l’av. Polson"
11/06/2020 12:00:00 AM,11/13/2020 12:00:00 AM,Winnipeg Transit Route,"Régie des transports de Winnipeg, ligne",,,40,Henderson Hwy. and McLeod Ave. to Bell MTS Place (Portage Ave. / Donald St.) at 6:25 a.m. to 6:40 a.m.|Portage Place (Portage Ave./ Edmonton St.) to Henderson Hwy. / McLeod Ave. at 4:07 p.m. to 4:30 p.m.,"Depuis le coin du ch. Henderson et de l’av. McLeod jusqu’au Bell MTS Place (av. Portage/rue Donald), entre 6 h 25 et 6 h 40|Depuis Portage Place (av. Portage/rue Edmonton) jusqu’au coin du ch. Henderson et de l’av. McLeod, entre 16 h 07 et 16 h 30"
12/14/2020 12:00:00 AM,12/21/2020 12:00:00 AM,Winnipeg Transit Routes,"Régie des transports de Winnipeg, lignes","Régie des transports de Winnipeg, lignes","Régie des transports de Winnipeg, lignes",14,Route 14 from Britannica Rd. and Paddington Rd. to Fermor Ave. and St. Mary's Road at approximately 12:12 p.m. |Route 16 from Fermor Ave. and St. Mary's Rd. to Autumnwood Dr. & Cottonwood Rd. at approximately 12:35 p.m.|Route 16 from Autumnwood Dr. and Cottonwood Rd. to Fermor Avenue and St. Mary's Rd. at approximately 2:40 p.m.|Route 14 from Fermor Ave. and St. Mary's Road to Britannica Rd. and Paddington Rd. at approximately 3:05 p.m.,"Ligne 14, depuis le coin du ch. Britannica et du ch. Paddington jusqu’au coin de l’av. Fermor et du ch. St. Mary's, à environ 12 h 12 |Ligne 16, depuis le coin de l’av. Fermor et du ch. St. Mary's jusqu’au coin de la prom. Autumnwood et du ch. Cottonwood, à environ 12 h 35|Ligne 16, depuis le coin de la prom. Autumnwood et du ch. Cottonwood jusqu’au coin de l’av. Fermor et du ch. St. Mary's, à environ 14 h 40|Ligne 14, depuis le coin de l’av. Fermor et du ch. St. Mary's jusqu’au coin du ch. Britannica et du ch. Paddington, à environ 15 h 05"
12/14/2020 12:00:00 AM,12/21/2020 12:00:00 AM,Winnipeg Transit Routes,"Régie des transports de Winnipeg, lignes","Régie des transports de Winnipeg, lignes","Régie des transports de Winnipeg, lignes",14,Route 14 from Britannica Rd. and Paddington Rd. to Fermor Ave. and St. Mary's Road at approximately 12:12 p.m. |Route 16 from Fermor Ave. and St. Mary's Rd. to Autumnwood Dr. & Cottonwood Rd. at approximately 12:35 p.m.|Route 16 from Autumnwood Dr. and Cottonwood Rd. to Fermor Avenue and St. Mary's Rd. at approximately 2:40 p.m.|Route 14 from Fermor Ave. and St. Mary's Road to Britannica Rd. and Paddington Rd. at approximately 3:05 p.m.,"Ligne 14, depuis le coin du ch. Britannica et du ch. Paddington jusqu’au coin de l’av. Fermor et du ch. St. Mary's, à environ 12 h 12 |Ligne 16, depuis le coin de l’av. Fermor et du ch. St. Mary's jusqu’au coin de la prom. Autumnwood et du ch. Cottonwood, à environ 12 h 35|Ligne 16, depuis le coin de la prom. Autumnwood et du ch. Cottonwood jusqu’au coin de l’av. Fermor et du ch. St. Mary's, à environ 14 h 40|Ligne 14, depuis le coin de l’av. Fermor et du ch. St. Mary's jusqu’au coin du ch. Britannica et du ch. Paddington, à environ 15 h 05"
12/15/2020 12:00:00 AM,12/21/2020 12:00:00 AM,Winnipeg Transit Routes,"Régie des transports de Winnipeg, lignes","Régie des transports de Winnipeg, lignes","Régie des transports de Winnipeg, lignes",75,Route 14 from Britannica Rd. and Paddington Rd. to Bishop Grandin Blvd. and St. Mary's Rd. at approximately 9:17 a.m.|Route 75 from Bishop Grandin Blvd. and St. Mary's Rd. to Lakewood Blvd. and Tamarac Bay at approximately 9:17 a.m.|Route 16 from Autumnwood Dr. and Cottonwood Rd. to Fermor Ave. and St. Mary's Rd. at approximately 12:21 p.m. |Route 75 from Lakewood Blvd. and Tamarac Bay to Bishop Grandin Blvd.  and St. Mary's Rd. at approximately 12:34 p.m. |Route 14 from Fermor Ave. and St. Mary's Rd. to Britannica Rd. and Paddington Rd. at approximately 12:45 p.m. |Route 14 from Bishop Grandin Blvd. and St. Mary's Rd. to Britannica Rd. and Paddington Rd. at approximately 12:59 p.m.,"Ligne 14, depuis le coin du ch. Britannica et du ch. Paddington jusqu’au coin du boul. Bishop Grandin et du ch. St. Mary's, à environ 9 h 17|Ligne 75, depuis le coin du boul. Bishop Grandin et du ch. St. Mary's jusqu’au coin du boul. Lakewood et de la baie Tamarac, à environ 9 h 17|Ligne 16, depuis le coin de la prom. Autumnwood et du ch. Cottonwood jusqu’au coin de l’av. Fermor et du ch. St. Mary's, à environ 12 h 21 |Ligne 75, depuis le coin du boul. Lakewood et de la baie Tamarac jusqu’au coin du boul. Bishop Grandin et du ch. St. Mary's, à environ 12 h 34 |Ligne 14, depuis le coin de l’av. Fermor et du ch. St. Mary's jusqu’au coin du ch. Britannica et du ch. Paddington, à environ 12 h 45 |Ligne 14, depuis le coin du boul. Bishop Grandin et du ch. St. Mary's jusqu’au coin du ch. Britannica et du ch. Paddington, à environ 12 h 59"
12/15/2020 12:00:00 AM,12/21/2020 12:00:00 AM,Winnipeg Transit Routes,"Régie des transports de Winnipeg, lignes","Régie des transports de Winnipeg, lignes","Régie des transports de Winnipeg, lignes",75,Route 14 from Britannica Rd. and Paddington Rd. to Bishop Grandin Blvd. and St. Mary's Rd. at approximately 9:17 a.m.|Route 75 from Bishop Grandin Blvd. and St. Mary's Rd. to Lakewood Blvd. and Tamarac Bay at approximately 9:17 a.m.|Route 16 from Autumnwood Dr. and Cottonwood Rd. to Fermor Ave. and St. Mary's Rd. at approximately 12:21 p.m. |Route 75 from Lakewood Blvd. and Tamarac Bay to Bishop Grandin Blvd.  and St. Mary's Rd. at approximately 12:34 p.m. |Route 14 from Fermor Ave. and St. Mary's Rd. to Britannica Rd. and Paddington Rd. at approximately 12:45 p.m. |Route 14 from Bishop Grandin Blvd. and St. Mary's Rd. to Britannica Rd. and Paddington Rd. at approximately 12:59 p.m.,"Ligne 14, depuis le coin du ch. Britannica et du ch. Paddington jusqu’au coin du boul. Bishop Grandin et du ch. St. Mary's, à environ 9 h 17|Ligne 75, depuis le coin du boul. Bishop Grandin et du ch. St. Mary's jusqu’au coin du boul. Lakewood et de la baie Tamarac, à environ 9 h 17|Ligne 16, depuis le coin de la prom. Autumnwood et du ch. Cottonwood jusqu’au coin de l’av. Fermor et du ch. St. Mary's, à environ 12 h 21 |Ligne 75, depuis le coin du boul. Lakewood et de la baie Tamarac jusqu’au coin du boul. Bishop Grandin et du ch. St. Mary's, à environ 12 h 34 |Ligne 14, depuis le coin de l’av. Fermor et du ch. St. Mary's jusqu’au coin du ch. Britannica et du ch. Paddington, à environ 12 h 45 |Ligne 14, depuis le coin du boul. Bishop Grandin et du ch. St. Mary's jusqu’au coin du ch. Britannica et du ch. Paddington, à environ 12 h 59"
12/15/2020 12:00:00 AM,12/21/2020 12:00:00 AM,Winnipeg Transit Routes,"Régie des transports de Winnipeg, lignes","Régie des transports de Winnipeg, lignes","Régie des transports de Winnipeg, lignes",16,Route 14 from Britannica Rd. and Paddington Rd. to Bishop Grandin Blvd. and St. Mary's Rd. at approximately 9:17 a.m.|Route 75 from Bishop Grandin Blvd. and St. Mary's Rd. to Lakewood Blvd. and Tamarac Bay at approximately 9:17 a.m.|Route 16 from Autumnwood Dr. and Cottonwood Rd. to Fermor Ave. and St. Mary's Rd. at approximately 12:21 p.m. |Route 75 from Lakewood Blvd. and Tamarac Bay to Bishop Grandin Blvd.  and St. Mary's Rd. at approximately 12:34 p.m. |Route 14 from Fermor Ave. and St. Mary's Rd. to Britannica Rd. and Paddington Rd. at approximately 12:45 p.m. |Route 14 from Bishop Grandin Blvd. and St. Mary's Rd. to Britannica Rd. and Paddington Rd. at approximately 12:59 p.m.,"Ligne 14, depuis le coin du ch. Britannica et du ch. Paddington jusqu’au coin du boul. Bishop Grandin et du ch. St. Mary's, à environ 9 h 17|Ligne 75, depuis le coin du boul. Bishop Grandin et du ch. St. Mary's jusqu’au coin du boul. Lakewood et de la baie Tamarac, à environ 9 h 17|Ligne 16, depuis le coin de la prom. Autumnwood et du ch. Cottonwood jusqu’au coin de l’av. Fermor et du ch. St. Mary's, à environ 12 h 21 |Ligne 75, depuis le coin du boul. Lakewood et de la baie Tamarac jusqu’au coin du boul. Bishop Grandin et du ch. St. Mary's, à environ 12 h 34 |Ligne 14, depuis le coin de l’av. Fermor et du ch. St. Mary's jusqu’au coin du ch. Britannica et du ch. Paddington, à environ 12 h 45 |Ligne 14, depuis le coin du boul. Bishop Grandin et du ch. St. Mary's jusqu’au coin du ch. Britannica et du ch. Paddington, à environ 12 h 59"
11/27/2020 12:00:00 AM,12/13/2020 12:00:00 AM,Winnipeg Transit Routes,"Régie des transports de Winnipeg, lignes",,,40,Route 40 from Sun Valley Rd. at Hovingham St. to Henderson Hwy. at Edison Ave. at approximately 6:21 |Route 77 from Henderson Hwy. at Edison Ave. to McLeod at Crocus at approximately 6:40 |Route 44 from McLeod Ave. at Sorley St. to Peguis St. at Crocus at approximately 6:53 |Route 87 from Kildonan Place to Sun Valley Rd. at Hovingham St. at approximately 5:07,"Ligne 40, depuis le coin du ch. Sun Valley et de la rue Hovingham jusqu’au coin du ch. Henderson et de l’av. Edison vers 6 h 21|Ligne 77, depuis le coin du ch. Henderson et de l’av. Edison jusqu’au coin de l’av. McLeod et de Crocus vers 6 h 40|Ligne 44, depuis le coin de l’av. McLeod et de la rue Sorley jusqu’au coin de la rue Peguis et de Crocus vers 6 h 53|Ligne 87, depuis Kildonan Place jusqu’au coin du ch. Sun Valley et de la rue Hovingham vers 5 h 07"
12/03/2020 12:00:00 AM,12/13/2020 12:00:00 AM,Winnipeg Transit Route,"Régie des transports de Winnipeg, ligne",,,47,Higgins Ave. at Maple St. to Desrosier Dr. at Edmund Gale Dr. at approximately 11:15,Depuis le coin de l’av. Higgins et de la rue Maple jusqu’au coin de la prom. Desrosiers et de la prom. Edmund-Gale vers 11 h 15
11/26/2020 12:00:00 AM,12/13/2020 12:00:00 AM,Winnipeg Transit Routes,"Régie des transports de Winnipeg, lignes",,,87,Route 40 from Sun Valley Rd. at Hovingham St. to Henderson Hwy. at Edison Ave. at approximately 6:21 |Route 77 from Henderson Hwy. at Edison Ave. to McLeod at Crocus at approximately 6:40 |Route 44 from McLeod Ave. at Sorley St. to Peguis St. at Crocus at approximately 6:53 |Route 87 from Kildonan Place to Sun Valley Rd. at Hovingham St. at approximately 5:07,"Ligne 40, depuis le coin du ch. Sun Valley et de la rue Hovingham jusqu’au coin du ch. Henderson et de l’av. Edison vers 6 h 21|Ligne 77, depuis le coin du ch. Henderson et de l’av. Edison jusqu’au coin de l’av. McLeod et de Crocus vers 6 h 40|Ligne 44, depuis le coin de l’av. McLeod et de la rue Sorley jusqu’au coin de la rue Peguis et de Crocus vers 6 h 53|Ligne 87, depuis Kildonan Place jusqu’au coin du ch. Sun Valley et de la rue Hovingham vers 5 h 07"
11/27/2020 12:00:00 AM,12/13/2020 12:00:00 AM,Winnipeg Transit Routes,"Régie des transports de Winnipeg, lignes",,,77,Route 40 from Sun Valley Rd. at Hovingham St. to Henderson Hwy. at Edison Ave. at approximately 6:21 |Route 77 from Henderson Hwy. at Edison Ave. to McLeod at Crocus at approximately 6:40 |Route 44 from McLeod Ave. at Sorley St. to Peguis St. at Crocus at approximately 6:53 |Route 87 from Kildonan Place to Sun Valley Rd. at Hovingham St. at approximately 5:07,"Ligne 40, depuis le coin du ch. Sun Valley et de la rue Hovingham jusqu’au coin du ch. Henderson et de l’av. Edison vers 6 h 21|Ligne 77, depuis le coin du ch. Henderson et de l’av. Edison jusqu’au coin de l’av. McLeod et de Crocus vers 6 h 40|Ligne 44, depuis le coin de l’av. McLeod et de la rue Sorley jusqu’au coin de la rue Peguis et de Crocus vers 6 h 53|Ligne 87, depuis Kildonan Place jusqu’au coin du ch. Sun Valley et de la rue Hovingham vers 5 h 07"
12/01/2020 12:00:00 AM,12/13/2020 12:00:00 AM,Winnipeg Transit Route,"Régie des transports de Winnipeg, ligne",,,47,Higgins Ave. at Maple St. to Ravenhurst St. at Kildare Ave. at approximately 1:30 p.m.,Depuis le coin de l’av. Higgins et de la rue Maple jusqu’au coin de la rue Ravenhurst et de l’av. Kildare vers 13 h 30
09/12/2020 12:00:00 AM,09/22/2020 12:00:00 AM,Winnipeg Transit Route,"Régie des transports de Winnipeg, ligne",,,47,"On Saturday, September 12, the individual rode route 47, boarding the bus at approximately 11:32 a.m. at Mayfair Avenue and Queen Elizabeth Way and exiting at approximately 12:10 p.m. at Kildare Avenue West and Kootenay Crescent.","Le samedi 12 septembre, la personne a pris la ligne 47. Elle a embarqué dans l’autobus vers 11 h 32 à l’intersection de l’avenue Mayfair et de Queen Elizabeth Way, et a débarqué vers 12 h 10 à l’intersection de l’avenue Kildare Ouest et du croissant Kootenay."
11/27/2020 12:00:00 AM,12/13/2020 12:00:00 AM,Winnipeg Transit Routes,"Régie des transports de Winnipeg, lignes",,,44,Route 40 from Sun Valley Rd. at Hovingham St. to Henderson Hwy. at Edison Ave. at approximately 6:21 |Route 77 from Henderson Hwy. at Edison Ave. to McLeod at Crocus at approximately 6:40 |Route 44 from McLeod Ave. at Sorley St. to Peguis St. at Crocus at approximately 6:53 |Route 87 from Kildonan Place to Sun Valley Rd. at Hovingham St. at approximately 5:07,"Ligne 40, depuis le coin du ch. Sun Valley et de la rue Hovingham jusqu’au coin du ch. Henderson et de l’av. Edison vers 6 h 21|Ligne 77, depuis le coin du ch. Henderson et de l’av. Edison jusqu’au coin de l’av. McLeod et de Crocus vers 6 h 40|Ligne 44, depuis le coin de l’av. McLeod et de la rue Sorley jusqu’au coin de la rue Peguis et de Crocus vers 6 h 53|Ligne 87, depuis Kildonan Place jusqu’au coin du ch. Sun Valley et de la rue Hovingham vers 5 h 07"
11/26/2020 12:00:00 AM,12/13/2020 12:00:00 AM,Winnipeg Transit Routes,"Régie des transports de Winnipeg, lignes",,,40,Route 40 from Sun Valley Rd. at Hovingham St. to Henderson Hwy. at Edison Ave. at approximately 6:21 |Route 77 from Henderson Hwy. at Edison Ave. to McLeod at Crocus at approximately 6:40 |Route 44 from McLeod Ave. at Sorley St. to Peguis St. at Crocus at approximately 6:53 |Route 87 from Kildonan Place to Sun Valley Rd. at Hovingham St. at approximately 5:07,"Ligne 40, depuis le coin du ch. Sun Valley et de la rue Hovingham jusqu’au coin du ch. Henderson et de l’av. Edison vers 6 h 21|Ligne 77, depuis le coin du ch. Henderson et de l’av. Edison jusqu’au coin de l’av. McLeod et de Crocus vers 6 h 40|Ligne 44, depuis le coin de l’av. McLeod et de la rue Sorley jusqu’au coin de la rue Peguis et de Crocus vers 6 h 53|Ligne 87, depuis Kildonan Place jusqu’au coin du ch. Sun Valley et de la rue Hovingham vers 5 h 07"
08/31/2020 12:00:00 AM,09/12/2020 12:00:00 AM,Winnipeg Transit Routes,"Régie des transports de Winnipeg, lignes",,,12,From approximately 8 a.m. to 8:20 a.m. and from 7:30 p.m. to 7:50 p.m. on each day.,D’environ 8 h à 8 h 20 et 19 h 30 à 19 h 50 tous les jours.
09/14/2020 12:00:00 AM,09/21/2020 12:00:00 AM,Winnipeg Transit Route,"Régie des transports de Winnipeg, ligne",,,412,"From the Headmaster/Mildred stop to John Pritchard School from approximately 8:15 a.m. to 8:40 a.m., and the return route from approximately 3 p.m. to 3:25 p.m.","De l’arrêt Headmaster/Mildred à l’école John Pritchard, entre 8 h 15 et 8 h 40 environ, et dans le sens inverse, entre 15 h et 15 h 25 environ."
09/01/2020 12:00:00 AM,09/12/2020 12:00:00 AM,Winnipeg Transit Routes,"Régie des transports de Winnipeg, lignes",,,11,From approximately 8 a.m. to 8:20 a.m. and from 7:30 p.m. to 7:50 p.m. on each day.,D’environ 8 h à 8 h 20 et 19 h 30 à 19 h 50 tous les jours.
11/27/2020 12:00:00 AM,12/13/2020 12:00:00 AM,Winnipeg Transit Routes,"Régie des transports de Winnipeg, lignes",,,87,Route 40 from Sun Valley Rd. at Hovingham St. to Henderson Hwy. at Edison Ave. at approximately 6:21 |Route 77 from Henderson Hwy. at Edison Ave. to McLeod at Crocus at approximately 6:40 |Route 44 from McLeod Ave. at Sorley St. to Peguis St. at Crocus at approximately 6:53 |Route 87 from Kildonan Place to Sun Valley Rd. at Hovingham St. at approximately 5:07,"Ligne 40, depuis le coin du ch. Sun Valley et de la rue Hovingham jusqu’au coin du ch. Henderson et de l’av. Edison vers 6 h 21|Ligne 77, depuis le coin du ch. Henderson et de l’av. Edison jusqu’au coin de l’av. McLeod et de Crocus vers 6 h 40|Ligne 44, depuis le coin de l’av. McLeod et de la rue Sorley jusqu’au coin de la rue Peguis et de Crocus vers 6 h 53|Ligne 87, depuis Kildonan Place jusqu’au coin du ch. Sun Valley et de la rue Hovingham vers 5 h 07"
11/26/2020 12:00:00 AM,12/13/2020 12:00:00 AM,Winnipeg Transit Routes,"Régie des transports de Winnipeg, lignes",,,44,Route 40 from Sun Valley Rd. at Hovingham St. to Henderson Hwy. at Edison Ave. at approximately 6:21 |Route 77 from Henderson Hwy. at Edison Ave. to McLeod at Crocus at approximately 6:40 |Route 44 from McLeod Ave. at Sorley St. to Peguis St. at Crocus at approximately 6:53 |Route 87 from Kildonan Place to Sun Valley Rd. at Hovingham St. at approximately 5:07,"Ligne 40, depuis le coin du ch. Sun Valley et de la rue Hovingham jusqu’au coin du ch. Henderson et de l’av. Edison vers 6 h 21|Ligne 77, depuis le coin du ch. Henderson et de l’av. Edison jusqu’au coin de l’av. McLeod et de Crocus vers 6 h 40|Ligne 44, depuis le coin de l’av. McLeod et de la rue Sorley jusqu’au coin de la rue Peguis et de Crocus vers 6 h 53|Ligne 87, depuis Kildonan Place jusqu’au coin du ch. Sun Valley et de la rue Hovingham vers 5 h 07"
11/26/2020 12:00:00 AM,12/13/2020 12:00:00 AM,Winnipeg Transit Routes,"Régie des transports de Winnipeg, lignes",,,77,Route 40 from Sun Valley Rd. at Hovingham St. to Henderson Hwy. at Edison Ave. at approximately 6:21 |Route 77 from Henderson Hwy. at Edison Ave. to McLeod at Crocus at approximately 6:40 |Route 44 from McLeod Ave. at Sorley St. to Peguis St. at Crocus at approximately 6:53 |Route 87 from Kildonan Place to Sun Valley Rd. at Hovingham St. at approximately 5:07,"Ligne 40, depuis le coin du ch. Sun Valley et de la rue Hovingham jusqu’au coin du ch. Henderson et de l’av. Edison vers 6 h 21|Ligne 77, depuis le coin du ch. Henderson et de l’av. Edison jusqu’au coin de l’av. McLeod et de Crocus vers 6 h 40|Ligne 44, depuis le coin de l’av. McLeod et de la rue Sorley jusqu’au coin de la rue Peguis et de Crocus vers 6 h 53|Ligne 87, depuis Kildonan Place jusqu’au coin du ch. Sun Valley et de la rue Hovingham vers 5 h 07"
12/14/2020 12:00:00 AM,12/21/2020 12:00:00 AM,Winnipeg Transit Routes,"Régie des transports de Winnipeg, lignes","Régie des transports de Winnipeg, lignes","Régie des transports de Winnipeg, lignes",16,Route 14 from Britannica Rd. and Paddington Rd. to Fermor Ave. and St. Mary's Road at approximately 12:12 p.m. |Route 16 from Fermor Ave. and St. Mary's Rd. to Autumnwood Dr. & Cottonwood Rd. at approximately 12:35 p.m.|Route 16 from Autumnwood Dr. and Cottonwood Rd. to Fermor Avenue and St. Mary's Rd. at approximately 2:40 p.m.|Route 14 from Fermor Ave. and St. Mary's Road to Britannica Rd. and Paddington Rd. at approximately 3:05 p.m.,"Ligne 14, depuis le coin du ch. Britannica et du ch. Paddington jusqu’au coin de l’av. Fermor et du ch. St. Mary's, à environ 12 h 12 |Ligne 16, depuis le coin de l’av. Fermor et du ch. St. Mary's jusqu’au coin de la prom. Autumnwood et du ch. Cottonwood, à environ 12 h 35|Ligne 16, depuis le coin de la prom. Autumnwood et du ch. Cottonwood jusqu’au coin de l’av. Fermor et du ch. St. Mary's, à environ 14 h 40|Ligne 14, depuis le coin de l’av. Fermor et du ch. St. Mary's jusqu’au coin du ch. Britannica et du ch. Paddington, à environ 15 h 05"
12/14/2020 12:00:00 AM,12/21/2020 12:00:00 AM,Winnipeg Transit Routes,"Régie des transports de Winnipeg, lignes","Régie des transports de Winnipeg, lignes","Régie des transports de Winnipeg, lignes",16,Route 14 from Britannica Rd. and Paddington Rd. to Fermor Ave. and St. Mary's Road at approximately 12:12 p.m. |Route 16 from Fermor Ave. and St. Mary's Rd. to Autumnwood Dr. & Cottonwood Rd. at approximately 12:35 p.m.|Route 16 from Autumnwood Dr. and Cottonwood Rd. to Fermor Avenue and St. Mary's Rd. at approximately 2:40 p.m.|Route 14 from Fermor Ave. and St. Mary's Road to Britannica Rd. and Paddington Rd. at approximately 3:05 p.m.,"Ligne 14, depuis le coin du ch. Britannica et du ch. Paddington jusqu’au coin de l’av. Fermor et du ch. St. Mary's, à environ 12 h 12 |Ligne 16, depuis le coin de l’av. Fermor et du ch. St. Mary's jusqu’au coin de la prom. Autumnwood et du ch. Cottonwood, à environ 12 h 35|Ligne 16, depuis le coin de la prom. Autumnwood et du ch. Cottonwood jusqu’au coin de l’av. Fermor et du ch. St. Mary's, à environ 14 h 40|Ligne 14, depuis le coin de l’av. Fermor et du ch. St. Mary's jusqu’au coin du ch. Britannica et du ch. Paddington, à environ 15 h 05"
12/15/2020 12:00:00 AM,12/21/2020 12:00:00 AM,Winnipeg Transit Routes,"Régie des transports de Winnipeg, lignes","Régie des transports de Winnipeg, lignes","Régie des transports de Winnipeg, lignes",14,Route 14 from Britannica Rd. and Paddington Rd. to Bishop Grandin Blvd. and St. Mary's Rd. at approximately 9:17 a.m.|Route 75 from Bishop Grandin Blvd. and St. Mary's Rd. to Lakewood Blvd. and Tamarac Bay at approximately 9:17 a.m.|Route 16 from Autumnwood Dr. and Cottonwood Rd. to Fermor Ave. and St. Mary's Rd. at approximately 12:21 p.m. |Route 75 from Lakewood Blvd. and Tamarac Bay to Bishop Grandin Blvd.  and St. Mary's Rd. at approximately 12:34 p.m. |Route 14 from Fermor Ave. and St. Mary's Rd. to Britannica Rd. and Paddington Rd. at approximately 12:45 p.m. |Route 14 from Bishop Grandin Blvd. and St. Mary's Rd. to Britannica Rd. and Paddington Rd. at approximately 12:59 p.m.,"Ligne 14, depuis le coin du ch. Britannica et du ch. Paddington jusqu’au coin du boul. Bishop Grandin et du ch. St. Mary's, à environ 9 h 17|Ligne 75, depuis le coin du boul. Bishop Grandin et du ch. St. Mary's jusqu’au coin du boul. Lakewood et de la baie Tamarac, à environ 9 h 17|Ligne 16, depuis le coin de la prom. Autumnwood et du ch. Cottonwood jusqu’au coin de l’av. Fermor et du ch. St. Mary's, à environ 12 h 21 |Ligne 75, depuis le coin du boul. Lakewood et de la baie Tamarac jusqu’au coin du boul. Bishop Grandin et du ch. St. Mary's, à environ 12 h 34 |Ligne 14, depuis le coin de l’av. Fermor et du ch. St. Mary's jusqu’au coin du ch. Britannica et du ch. Paddington, à environ 12 h 45 |Ligne 14, depuis le coin du boul. Bishop Grandin et du ch. St. Mary's jusqu’au coin du ch. Britannica et du ch. Paddington, à environ 12 h 59"
